tat16/31'CL, HIV I TAT
H8'CL, PRE S2 ANTI-GEN OF HEP-AT-I-TUS B VIRUS  ADR SUB-TYPE
HIV-LC13'CL, HIV 1 GP120
402K-B5, HIV GP120 V3 LOOP  K OFF = 2.4 X 10-EXP 4 SEC 1
rev16/20'CL, HIV I REV
G15'CL, GP41
MuRSV19'CL, HU-MAN RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
SiP057'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
402O-A12, HIV GP120 V3 LOOP  K OFF = 1.5 X 10-EXP 4 SEC 1
1B8'CL, HIV GP41 HY-BRIDO-MA
H220-23'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
ToPA175'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ITH5-2'CL, HIV 1 V3 LOOP
H165-156A2'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
0.5-BETA'CL, PRIN-CI-PLE NEU-TRAL-IZ-ING DO-MAIN  PND  OF HIV 1 GP120
GP13'CL, CD4 BIND-ING SITE OF HIV 1 GP120.
HIV-b13'CL, HIV 1 GP120
ITC52'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
BI1279'CL, HIV 1 P24 CORE PRO-TEIN
2G12'CL, NEU-TRAL-IZ-ING HIV 1
HIV-HC9'CL, HIV 1 GP120
HIV-s2'CL, HIV 1 GP120
mAb57'CL, RA-BIES VIRUS
rev9.33'CL, HIV 1 REV
L17'CL, HIV 1 GP120
HIV-s3'CL, HIV 1 GP120
HIV-LC26'CL, HIV 1 GP120
402F-C4, HIV GP120 V3 LOOP  K OFF = 4.0 X 10-EXP 4 SEC 1
HIV-B26'CL, HIV 1 GP120
402P4-A9, HIV GP120 V3 LOOP  K OFF = 1.4 X 10-EXP 4 SEC 1
HIV-s4'CL, HIV 1 GP120
402L-H11, HIV GP120 V3 LOOP  K OFF = 4.0 X 10-EXP 4 SEC 1
T5-334'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
BP.2.5'CL, HIV 1 GP120 V3 LOOP
M25'CL, HIV 1 GP41
402O-C7, HIV GP120 V3 LOOP  K OFF = 1.3 X 10-EXP 4 SEC 1
C10'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
SB5/D6'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  RI-BO-SYL-RIBITOLPHOS-PHATE
p35'CL, HIV 1 GP120
GSD2B5B10'CL, HIV 1
17/9'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HA1  RESIDUES 75 110  HY-BRIDO-MA
F172-D8'CL, HIV 1
H220-22'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
HIV-s5'CL, HIV 1 GP120
mAb52'CL, RA-BIES VIRUS
H210'CL, HEP-ATI-TIS A VIRUS
ToPA184'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
HiH10'CL, H. IN-FLUEN-ZAE TYPE B OUT-ER MEM-BRANE PRO-TEIN P1
447, HIV GP120 V3 LOOP  K OFF = 4.0 X 10-EXP 4 SEC 1
HIV-b12'CL, HIV 1 GP120
402P4-H1, HIV GP120 V3 LOOP  K OFF = 1.4 X 10-EXP 4 SEC 1
ToPG435'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
F11.2.32'CL, HIV 1 PRO-TEASE  KA = 5 NM
H144-17B7'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ SEC-ONDARY AN-TI-BOD-IES  SB  HY-BRIDO-MA
L59'CL, HIV 1 GP120
H163-130F2'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
HIV-HC14'CL, HIV 1 GP120
402K-D1, HIV GP120 V3 LOOP  K OFF = 3.9 X 10-EXP 4 SEC 1
scFv40'CL, COAT PRO-TEIN OF POTA-TO VIRUS V
HIV-s6'CL, HIV 1 GP120
402K-G1, HIV GP120 V3 LOOP  K OFF = 2.3 X 10-EXP 4 SEC 1
HIV-s7'CL, HIV 1 GP120
3D6'CL, HIV GP41
Ann6'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
No.13'CL, HIV GP120
AS.1.29'CL, HIV 1 GP120 V3 LOOP
HIV-LC1'CL, HIV 1 GP120
NG3B7'CL, HIV 1
mAb56'CL, RA-BIES VIRUS
257-D'CL, HIV TYPE 1 SPE-CIF-IC FOR THE PRIN-CI-PLE NEU-TRAL-IZ-ING DO-MAIN OF GP120 OF MN AND MAP TO RESIDUES KRI-HI
HIV-b22'CL, HIV 1 GP120
L1'CL, GP41
CM4'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
T5-626'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
HIV-B35'CL, HIV 1 GP120
AS.1.30'CL, HIV 1 GP120 V3 LOOP
P5Q'CL, HIV GP120
C108G clone 2'CL, HIV 1 GP120
No.86'CL, HIV GP41
HIV-s8'CL, HIV 1 GP120
T6-112'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
K14'CL, HIV 1 GP41.
HIV-loop13'CL, HIV 1 GP120
402O-C11, HIV GP120 V3 LOOP  K OFF = 2.1 X 10-EXP 4 SEC 1
402D-F12, HIV GP120 V3 LOOP  K OFF = 4.1 X 10-EXP 4 SEC 1
BB344'CL, HIV 1 P24 CORE PRO-TEIN
HIV-b11'CL, HIV 1 GP120
AP.1.7'CL, HIV 1 GP120 V3 LOOP
HIV-b21'CL, HIV 1 GP120
SD6'CL, FOOT AND MOUSE DIS-EASE VIRUS C S8C1
HIV-HC7'CL, HIV 1 GP120
U.2.1'CL, HIV 1 GP120 V3 LOOP
HIV-loop8'CL, HIV 1 GP120
7-10A'CL, CORO-N-A-VIRUS
HIV-b1'CL, HIV 1 GP120
H33-48'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
p7'CL, HIV 1 GP120
402B-A7, HIV GP120 V3 LOOP  K OFF = 4.2 X 10-EXP 4 SEC 1
HIV-LC24'CL, HIV 1 GP120
402J-F7, HIV GP120 V3 LOOP  K OFF = 2.1 X 10-EXP 4 SEC 1
VM202'CL, PR8  HIN1  VIRUS VARI-ANT  VM113 V1
mAb105'CL, RA-BIES VIRUS
AS.1.28'CL, HIV 1 GP120 V3 LOOP
ToPG335'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
B4'CL, F PRO-TEIN OF RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
BB128'CL, HIV 1 P24 CORE PRO-TEIN
G5'CL, GP41
B13'CL, F PRO-TEIN OF RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
L19'CL, HIV 1 GP120
mAb50'CL, RA-BIES VIRUS
1F7'CL, NEU-TRAL-IZ-ING HIV 1
HIV-b2'CL, HIV 1 GP120
pB7S2'CL, HER-PES-VIRUS 1
HIV-b3'CL, HIV 1 GP120
H146-24E9'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
HIV-b29'CL, HIV 1 GP120
402P4-G4, HIV GP120 V3 LOOP  K OFF = 1.4 X 10-EXP 4 SEC 1
SiP022'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
mAb55'CL, RA-BIES VIRUS
C108G clone 1'CL, HIV 1 GP120
EH1'CL, C TER-MI-NUS OF NEF OF HIV 1 STRAIN LAI  VARELH-PEYFKNC  AND SF2  MARELH-PEYYKDC
15e'CL, CD4 BIND-ING SITE OF HIV 1 GP120
T6-510'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
402P5-B8, HIV GP120 V3 LOOP  K OFF = 1.4 X 10-EXP 4 SEC 1
HIV-b20'CL, HIV 1 GP120
36-15'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ
H9-A15'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
tat31'CL, HIV 1 TAT
CB-mab-p24/13-5'CL, P24 CORE PRO-TEIN OF HIV 1
402L-B6, HIV GP120 V3 LOOP  K OFF = 2.0 X 10-EXP 4 SEC 1
RF-1, RSV
402K-F10, HIV GP120 V3 LOOP  K OFF = 2.0 X 10-EXP 4 SEC 1
HIV-LC7'CL, HIV 1 GP120
402P4-F5, HIV GP120 V3 LOOP  K OFF = 1.2 X 10-EXP 4 SEC 1
HIV-b4'CL, HIV 1 GP120
F240'CL, HIV 1 GP41 AND GP160
1B1'CL, NEU-TRAL-IZ-ING HIV 1
tat104'CL, HIV 1 TAT
402L-B5, HIV GP120 V3 LOOP  K OFF = 2.2 X 10-EXP 4 SEC 1
SiP024'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
F124'CL, HEP-ATI-TIS B VIRUS  HBV
AE6'CL, C TER-MI-NUS OF NEF OF HIV 1 STRAIN LAI  VARELH-PEYFKNC  BUT NOT SF2  MARELH-PEYYKDC
268-D'CL, HIV TYPE 1 SPE-CIF-IC FOR THE PRIN-CI-PLE NEU-TRAL-IZ-ING DO-MAIN OF GP120 OF MN AND MAPS TO RESIDUES HIGP-GR
HIV-LC22'CL, HIV 1 GP120
DZ33'CL, HIV 1
T5-314'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
C108G'CL, HIV 1 GP120
SiP010'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
VM201'CL, PR8  HIN1  VIRUS VARI-ANT  VM113 V1
H146-24B1'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
T10-5'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
402P5-H7, HIV GP120 V3 LOOP  K OFF = 0.79 X 10-EXP 4 SEC 1
HIV-b18'CL, HIV 1 GP120
HCV-3'CL, PP65 VI-RAL MA-TRIX PHOS-PHO-PRO-TEIN OF HU-MAN CY-TOMEGALO-VIRUS
2F5'CL, NEU-TRAL-IZ-ING HIV 1
HNK20 hu7, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
HIV-b6'CL, HIV 1 GP120
p7B7.2'CL, HER-PES-VIRUS 1
O18'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CARIDE
ZM1-1'CL, HEP-AT-I-TUS B VIRUS SUR-FACE ANTI-GEN   A  DE-TER-MI-NANT
tat107'CL, HIV 1 TAT
402P4-D11, HIV GP120 V3 LOOP  K OFF = 1.3 X 10-EXP 4 SEC 1
H153-70A12'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
DaB2B3'CL, HIV 1
C31'CL, HIV 1
ToP217'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
402E-B4, HIV GP120 V3 LOOP  K OFF = 4.2 X 10-EXP 4 SEC 1
HBW4-1'CL, HIV GP120
BS.1.21'CL, HIV 1 GP120 V3 LOOP
tat104/107'CL, HIV I TAT
IC5-4D1'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
ToP202'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
402P4-E7, HIV GP120 V3 LOOP  K OFF = 1.3 X 10-EXP 4 SEC 1
HCV-63'CL, PP65 VI-RAL MA-TRIX PHOS-PHO-PRO-TEIN OF HU-MAN CY-TOMEGALO-VIRUS
AS.1.15'CL, HIV 1 GP120 V3 LOOP
AG11'CL, C TER-MI-NUS OF NEF OF HIV 1 STRAIN LAI  VARELH-PEYFKNC  BUT NOT SF2  MARELH-PEYYKDC
BB223'CL, HIV 1 P24 CORE PRO-TEIN
HCV-65'CL, PP65 VI-RAL MA-TRIX PHOS-PHO-PRO-TEIN OF HU-MAN CY-TOMEGALO-VIRUS
p2C7.5'CL, HER-PES-VIRUS 1
HIV-b8'CL, HIV 1 GP120
402I-A10, HIV GP120 V3 LOOP  K OFF = 2.4 X 10-EXP 4 SEC 1
ToPA138'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
H8''CL, PRE S2 ANTI-GEN OF HEP-AT-I-TUS B VIRUS  ADR SUB-TYPE
p20'CL, HIV 1 GP120
L11'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CARIDE
L2'CL, GP41
BAT123'CL, GLY-CO-PRO-TEIN GP120 OF HTLV II-IB STRAIN OF HIV TYPE 1.
HCV-2'CL, PP65 VI-RAL MA-TRIX PHOS-PHO-PRO-TEIN OF HU-MAN CY-TOMEGALO-VIRUS
HIV-B2'CL, HIV 1 GP120
HNK20 hu10, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
L69'CL, HIV 1 GP120
HIV-loop35'CL, HIV 1 GP120
402J-E9, HIV GP120 V3 LOOP  K OFF = 2.0 X 10-EXP 4 SEC 1
HIV-b27'CL, HIV 1 GP120
SiP014'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HIV-LC25'CL, HIV 1 GP120
265-695'CL, HEP-AT-I-TUS B VIRUS SUR-FACE ANTI-GEN   A  DE-TER-MI-NANT
402C-A11, HIV GP120 V3 LOOP  K OFF = 3.9 X 10-EXP 4 SEC 1
ED6.1'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
MuRSV19VH'CL, HU-MAN RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
OST577'CL, HEP-AT-I-TUS B VIRUS SUR-FACE ANTI-GEN   A  DE-TER-MI-NANT
21h'CL, CD4 BIND-ING SITE OF HIV 1 GP120
HuRSV19VK, HU-MAN RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
402K-F3, HIV GP120 V3 LOOP  K OFF = 2.0 X 10-EXP 4 SEC 1
AP.2.8'CL, HIV 1 GP120 V3 LOOP
BP.1.3'CL, HIV 1 GP120 V3 LOOP
p7G1.5'CL, HER-PES-VIRUS 1
mAb59'CL, RA-BIES VIRUS
MD3-4'CL, HEP-AT-I-TUS B VIRUS SUR-FACE ANTI-GEN   A  DE-TER-MI-NANT
HIV-loop2'CL, HIV 1 GP120
SiP065'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
T48.16-G8'CL, HIV 1
HIV-HC3'CL, HIV 1 GP120
AF2'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
402P4-B5, HIV GP120 V3 LOOP  K OFF = 0.88 X 10-EXP 4 SEC 1
HIV-LC5'CL, HIV 1 GP120
MC1'CL, ID-IO-TYP-IC AN-TI-BODY REC-OG-NIZ-ING ID-IO-TYPE ON HIV 1 GP120
p5H4.1'CL, HER-PES-VIRUS 1
CM2'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
tat16'CL, HIV 1 TAT
98-6'CL, HIV TYPE 1 SPE-CIF-IC FOR AMINO ACIDS 644 663 OF GP41
402J-G3, HIV GP120 V3 LOOP  K OFF = 2.1 X 10-EXP 4 SEC 1
CR1'CL, TO-BAC-CO MO-SA-IC VIRUS PRO-TEIN HY-BRIDO-MA
T8-2'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
ToP241'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HIV-HC13'CL, HIV 1 GP120
mAb58'CL, RA-BIES VIRUS
2F7'CL, RE-ACTS WITH RE-COM-BI-NANT HIV 1 GP160.
SiP054'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
MA 18/7'CL, PRE S1 RE-GION OF HEP-ATI-TIS B VIRUS
H37-62'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
402P4-E2, HIV GP120 V3 LOOP  K OFF = 1.4 X 10-EXP 4 SEC 1
71-31'CL, HIV TYPE 1 SPE-CIF-IC FOR P24
402K-B9, HIV GP120 V3 LOOP  K OFF = 2.0 X 10-EXP 4 SEC 1
HIV-HC2'CL, HIV 1 GP120
RF-2, RSV
C108G clone 4'CL, HIV 1 GP120
HNK20, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
HIV-B20'CL, HIV 1 GP120
HIV-B30'CL, HIV 1 GP120
EV1-15'CL, CY-TOMEGALO-VIRUS HY-BRIDO-MA
H37-90'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
pB8S1'CL, HER-PES-VIRUS 1
ToPA255'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
HIV-LC28'CL, HIV 1 GP120
mAb53'CL, RA-BIES VIRUS
H220-19'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
SiP004'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
CB6'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
JB21'CL, POLY-SAC-CHA-RIDE OF HEMO-PHILUS IN-FLUEN-ZAE TYPE B
HiH2'CL, H. IN-FLUEN-ZAE TYPE B LIPOPOLY-SAC-CHA-RIDE
rsv6L'CL, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS F GLY-CO-PRO-TEIN
H220-5'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
SiP055'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPA213'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
MAb C3'CL, HEAT IN-AC-TI-VAT-ED PO-LIOVIRI-ON  MA-H-ONEY STRAIN OF TYPE 1 PO-LIO-VIRUS
A2b'CL, HAEMO-PHILUS IN-FLUEN-ZA TYPE B  HIB
ToP303'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG427'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP006'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
FS12, VH4 34
ToPA135'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
SiP056'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP247'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP007'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
AC31'CL, HU-MAN CY-TOMEGALO-VIRUS  CMV  MEM-BRANE GLY-CO-PRO-TEIN GP58 116  GB  AD2 EPI-TOPE  RESIDUES 67 TO 86 OF GP116
ToP018'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
T5-224'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
H220-7'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
H9-D3'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
T9-1'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
H220-17'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ SEC-ONDARY AN-TI-BOD-IES  SB  HY-BRIDO-MA
37-85'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ
H280-4'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
SiP009'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
H35-C6'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
PY102'CL, HEMAG-GLU-TININ OF PR8 IN-FLUEN-ZA VIRUS HY-BRIDO-MA
SiP059'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SiP042'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP306'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToP003'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
36-17'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ
H20-A15'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
H210-56'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ SEC-ONDARY AN-TI-BOD-IES  SB  HY-BRIDO-MA
A3.1'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
T7-4'CL, T3 EPI-TOPE  GLY 225  OF IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ
ToP027'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPG426'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP307'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
L2-10C1'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
H230-2'CL, A PR 8 34 IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ DI-RECT-ED TO THE CB SITE
rsv13H'CL, RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS F GLY-CO-PRO-TEIN
scFv8, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
ITC39'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
SiP044'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
HB-1'CL, HEP-ATI-TIS B SUR-FACE ANTI-GEN
scFv21, LOW DEN-SI-TY LIPRO-PRO-TAIN RE-CEP-TOR THUS IN-HIBIT-ING RHI-NO-VIRUS IN-FEC-TION
ToPG405'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToPA113'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
ToP309'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
ToPG415'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
Gar6E8'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B POLY-SAC-CHA-RIDE
SiP046'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
pab 101'CL, CAR-BOXYL TER-MI-NUS OF SV40 T ANTI-GEN
ToP220'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
