I'CL, 2 PHENY-LOX-A-ZOL 5 ONE
2E5.G10'CL, RAT CY-TOCHROME C HY-BRIDO-MA
5E2-1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
2INL11'CL, HU-MAN IN-SULIN
103-A15'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
3E4, DIGOX-IN AN-TI-BODY
BW24-28'CL, DNA
MMW.8.13'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQ10 12.5'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
q'CL, 2 PHENY-LOX-A-ZOL 5 ONE
SP1.4'CL, THY-ROID PER-OX-I-DASE AU-TOAN-TI-BODY
2-7'CL, IG-G2A
84-20'CL, DNA
64-32E4, ARS
LN2 346'CL, MOUSE TYPE II COL-LA-GEN
S2B154'CL, ID-IO-TYPE OF HLA DQ3 AN-TI-BODY
161'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
gammaR38'CL, HU-MAN IN-TER-FER-ON GAM-MA RE-CEP-TOR
PC2811'CL, PSIC-T3
25E12'CL, CRYP-TO-COC-CUS NE-O-FOR-MANS  SEROP-TYPE A  GLU-CURONOXY-LO-MAN-NAN TETANUS TOX-OID CON-JU-GATE
G01, LYSOZYME HY-BRIDO-MA
cDNA7-Hul'CL, IGG  RHEUMA-TOID FAC-TOR
F1, MESOTHE-LIN
A2/69'CL, ID-IOTOPE HY-BRIDO-MA
221.2D10'CL, PHOS-PHO-RYL-CHOLINE  P.-MOR-GANII  HY-BRIDO-MA
7D8'CL, CRYP-TO-COC-CUS NE-O-FOR-MANS  SEROP-TYPE A  GLU-CURONOXY-LO-MAN-NAN TETANUS TOX-OID CON-JU-GATE
F12.40D3'CL, DS-D-NA
544'CL, P601E
ASWP1'CL, NU-CLE-O-LAR PAR-TI-CLES U3  U8
ToPA210'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE
XRPC44, BE-TA 1 6 D GALAC-TAN
163.24, P53
MMW.7.13'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MRA1K'CL, HI-S-T-ONE
NP11-1'CL, DNA
14E1'CL, CRYP-TO-COC-CUS NE-O-FOR-MANS  SEROP-TYPE A  GLU-CURONOXY-LO-MAN-NAN TETANUS TOX-OID CON-JU-GATE
4-4'CL, IG-G2A
C8'CL, THY-ROID PER-OX-I-DASE AU-TOAN-TI-BODY
B'20 (Humkv328-Jk1)'CL, RHEUMA-TOID FAC-TOR
CLONE 4E9'CL, HU-MAN RED BLOOD CELL
alphaDpX (Dp2B)'CL, DER P 2  HOUSE DUST MITE AL-LER-GEN
637'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
Ma_18-H'CL, DINI-TRO-PHENYL
RF-TS2'CL, RHEUMA-TOID FAC-TOR AU-TOAN-TI-BODY
202.33'CL, DNA
G3D10H'CL, GAN-GLIO-SIDE AU-TOAN-TI-BODY  GM1  GA1  GAL-GALNAC BSA  NL-C4  3 FL BSA
SO3'CL, AN-TI9 HLA DQ3
42.7B3.2a'CL, AL-PHA 1 6 DEX-TRAN
hVH65-212'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=3.6X10-EX-P6
S4 5A'CL, EPI-DER-MAL GROWTH FAC-TOR RE-CEP-TOR
KSe2B6'CL, FLU-O-RES-CEIN
B12-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
AL3-7'CL, POLY-CA-TION
1-8'CL, SM HY-BRIDO-MA
RF9-11K'CL, IG-G1
Mb_59-H'CL, DINI-TRO-PHENYL
T2,4'CL, HEN BOV-INE THY-ROGLOB-U-LIN
MMW.2.6.18'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
F3F3'CL, DEX-TRAN B512
DN7'CL, MCPS
HuRSV19VHFNS, HU-MAN RES-PI-RA-TO-RY SYN-CY-TIAL VIRUS
NP5-1'CL, DNA
3E12'CL, DNA
TEL16'CL, TURKEY EGG WHITE LYSOZYME
heavy1'CL, HU-MAN THY-ROGLOB-U-LIN
A5B9'CL, AL-PRENOLOL HY-BRIDO-MA
IAG-1, POLYAM-INE  CROSS RE-ACTS WITH SPER-MI-D-INE
Bg53-31'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Fog-1'CL, ERY-THRO-CYTE RH D  AL-LOANTI-GEN
#14'CL, LA RNP  RI-BONU-CLE-O-PRO-TEIN
40SNQP15, 2 PHENY-LOX-A-ZOL-ONE
Mb_06-H'CL, DINI-TRO-PHENYL
C043'CL, NI-TRO-PHENYL
7-13'CL, SM HY-BRIDO-MA
NQT17/45B'CL, 2 PHENY-LOX-A-ZOL-ONE
Jb_17-H'CL, DINI-TRO-PHENYL
EF2H10'CL, FLU-O-RES-CEIN
NEU, CRYO-GLOB-U-LIN WITH IGG AC-TIV-I-TY; B ID-IO-TYPE  KUNKEL H.G. WINCH-ESTER R.J. JOSLIN F.G. & CAPRA J.D.  1974  J.-EX-P.MED. 139 128
DO142-10'CL, HIV 1 GP120
BW24-P18'CL, DNA
Ma_34-H'CL, DINI-TRO-PHENYL
ToP249'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
SC9'CL, MCPS
K1B12H'CL, GAN-GLIO-SIDE AU-TOAN-TI-BODY  GAL-GALNAC BSA  3 FL BSA
DP-7, P53
P168'CL, AU-TO ID-IO-TYP-IC DE-TER-MI-NANT  ID R  ON MAB 28 12
TNF-H9G1'CL, HU-MAN TU-MOR NECRO-SIS FAC-TOR AL-PHA
D444'CL, RNA AU-TOAN-TI-BODY  POLY G C  HY-BRIDO-MA
DPC'CL, GLU-TAM-IC ACID DE-CAR-BOXY-LASE 65
3-2C2'CL, CY-TOCHROME P450 ARO-MATASE
VL i.'CL, GLU-TATHI-ONE S TRANS-FERASE
NQ7 51.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Ig5-3'CL, DNA
56-1'CL, PHOS-PHO-RYL-CHOLINE KEY-HOLE LIMPET HEMO-CYANIN
2E126'CL, RAB-BIT MOUSE C LAMB-DA 2 AN-TI-BODY COU-PLED TO LIPOPOLY-SAC-CHA-RIDE HY-BRIDO-MA
3D6'CL, NON-NEU-TRAL-IZ-ING HIV 1 GP41
HDEX7, AL-PHA 1 3 AL-PHA 1 6 DEX-TRAN HY-BRIDO-MA
Z22'CL, Z DNA
H18-S415'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
PE25'CL, HU-MAN PROENKEPHALIN  A NEU-ROPEP-TIDE PRE-CUR-SOR  PEP-TIDE 155DL-LKEL-L161
mAb13'CL, IN-SULIN
2A1-67'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
612'CL, MEP 1 17 31 PEP-TIDE
HV14G2'CL, FLU-O-RES-CEIN
SiP016'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
MMW.2.7.10'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
163.5, P53
NQ22.9.24'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
9E11'CL, CRYP-TO-COC-CUS NE-O-FOR-MANS  SEROP-TYPE A  GLU-CURONOXY-LO-MAN-NAN TETANUS TOX-OID CON-JU-GATE
SE1.3'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
Na 77-H'CL, DNP
EPC109, BE-TA 2 1 FRUC-TOSAN  BIND-ING CON-STAN-T=6.6X10-EX-P5
Y2''CL, SM HY-BRIDO-MA
1C9'CL, BO-TULINUM NEU-RO-TOX-IN TYPE A BIND-ING DO-MAIN  BONT A HC
18R.136'CL, CAT-ALYT-IC AN-TI-BODY
79.7, MYELIN OLIGO-DEN-DRO-CYTE GLY-CO-PRO-TEIN  MOG
2S1.3, STREP-TO-COC-CAL GROUP A CAR-BO-HY-DRATE  BE-TA 1 3 N ACETYL D GLU-COSAM-INE
mAb735, AL-PHA 2 8 POLY-SIAL-IC ACID
H6-3C4'CL, HU-MAN SPERM SUR-FACE ANTI-GEN
BS1z63'CL, PHOS-PHO-RYL-CHOLINE
33.1.C2'CL, CD5
VHSM7-13'CL, IGG SMITH RI-BONU-CLE-AR PRO-TEIN
C5'CL, THY-ROID PER-OX-I-DASE AU-TOAN-TI-BODY
T10-938'CL, HLA A2 28 MAB CR11 351 COU-PLED TO KEY-HOLE LIMPET HEMO-CYANIN
MMW.2.7.7'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
C10'CL, RH D
F12H3'CL, DEX-TRAN B512
I03'CL, RH D
S107.U4, DOU-BLE STRAND-ED DNA AND PHOS-PHO-RYL-CHOLINE KLH
36-5'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ
5-7'CL, IG-G2A
h60.3'CL, CD18
AC21'CL, HU-MAN CY-TOMEGALO-VIRUS  CMV  MEM-BRANE GLY-CO-PRO-TEIN GP58 116  GB  AD2 EPI-TOPE  RESIDUES 67 TO 86 OF GP116
F10.12-2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
40-120, DIGOX-IN
ALN/12/17'CL, CHON-DROITIN SUL-PHATE PRO-TEO-GLY-CAN NG2  A TU-MOR SPE-CIF-IC ANTI-GEN ON THE 3 4 BEN-ZPYRENE IN-DUCED RAT CHON-DROSAR-CO-MA HSN
1/17'CL, DNA AU-TOAN-TI-BODY HY-BRIDO-MA
HIV-b7'CL, HIV 1 GP120
NQ2 6.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
T3'CL, HEN BOV-INE THY-ROGLOB-U-LIN
BA1224-2'CL, DS-D-NA
193020'CL, IN-SULIN AU-TOAN-TI-BODY
RF49B'CL, IG-G1 MON-O-CLON-AL AU-TOAN-TI-BODY  RHEUMA-TOID FAC-TOR
D12'CL, RH D
126TP10H'CL, THY-ROID PER-OX-I-DASE  TPO
5B5'CL, SM HY-BRIDO-MA
L25'CL, AU-TOAN-TI-BODY
A32'CL, B TYPE CHRON-IC LYM-PHO-CYT-IC LEUKEMIA  B CLL
417.F23'CL, POLYRE-AC-TIVE
HA1L1'CL, RHEUMA-TOID FAC-TOR
14-35A1, ARS
10/2'CL, GAL AL-PHA 1 3 GAL BE-TA 1 4 GLC-NAC R  BIND-ING CON-STAN-T=1.1X10-EX-P6
MP9'CL, HLA CLASS I  A*03
RF3-5K'CL, IG-G1
FON'CL, FC IGG
70.1.4'CL, DNA  ACTIN  MYOSIN  THY-ROGLOB-U-LIN
3-13'CL, FLU-O-RES-CEIN  KA=5.0X10-EX-P4
2E1'CL, NU-CLE-O-SOME  TO-TAL HI-S-T-ONE  H2A H2B DIMER
ToP255'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
NEO C72-3A1'CL,  T G  A  L
AL3-6'CL, POLY-CA-TION
74.119'CL, DNA
17/9'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HA1  RESIDUES 75 110  HY-BRIDO-MA
3-56'CL, SM HY-BRIDO-MA
L34'CL, HIV 1 GP120
1P2A'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T<7X10-EX-P4
44SNQP23, 2 PHENY-LOX-A-ZOL-ONE
Na 65-H'CL, DNP
F10.17-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
3A9'CL, GALAC-TO-SYL-GLO-BO-SIDE
HIV-B8'CL, HIV 1 GP120
La 69-H'CL, DNP
4D5'CL, DNA
B/SB5-84'CL, H4
303'CL, IN-SULIN
BKV1'CL, DS-D-NA
95.B3'CL, FLU-O-RES-CEIN
2-12'CL, SM
SOL1'CL, HAEMO-PHILUS IN-FLUEN-ZAE TYPE B CAP-SU-LAR POLY-SAC-CHA-RIDE  HIB PS
HIV-HC12'CL, HIV 1 GP120
L55-81'CL, TU-MOR AS-SO-CI-AT-ED GAN-GLIO-SIDE GM2
66'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
HMFG1'CL, HU-MAN MUCIN
252.5E10'CL, PHOS-PHO-RYL-CHOLINE  S.P-NEU-MO-NI-AE STR. R36A  HY-BRIDO-MA
A192'CL, B TYPE CHRON-IC LYM-PHO-CYT-IC LEUKEMIA  B CLL
280.8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NZA2'CL, NU-CLE-O-SOME
163.42'CL, DNA
ABPC47N, BE-TA 2 1 FRUC-TOSAN  BIND-ING CON-STAN-T=2.2X10-EX-P5
T13.203.94'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
HPCM2, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA BIND-ING CON-STAN-T=3.5X10-EX-P5
A.22'CL, ARS
T210'CL, NI-TRO-PHENYL
ITC48'CL, MA-JOR NEU-TRAL-IZA-TION DE-TER-MI-NANT  AD 1  OF HU-MAN CY-TOMEGALO-VIRUS GLY-CO-PRO-TEIN B  GP58 116
70'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
NC19-E11'CL, PHOS-PHATIDYL CHOLINE
DB1'CL, GLY-COPHORIN A
2D3'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
N25'CL, PHOS-PHO-CHOLINE PRO-TEIN  P NI-TRO-PHENYL PHOS-PHO-CHOLINE
3F29-4-12'CL, P AZOPHENY-LAR-SON-ATE
H220-25'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
AD17'CL, ERY-THRO-CYTE RH D
h'CL, ID-IO-TYPE  EX-PRESSED ON THE SUR-FACE OF NON HODGKIN S LYM-PHOMA CELLS
ToP207'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
H102'CL, SS-D-NA AU-TOAN-TI-BODY
ToP237'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
G6 BD 2.6, POLY GLU60 ALA30 TYR10  BALB C HY-BRIDO-MA
MOR115'CL, MOR-PHINE
47SNQP42, 2 PHENY-LOX-A-ZOL-ONE
rev9Fd'CL, HIV I REV
aPC-51-1'CL, PHOS-PHO-RYL-CHOLINE COU-PLED TO KLH AND BSA HY-BRIDO-MA  GROUP I
L3 10A'CL, EPI-DER-MAL GROWTH FAC-TOR RE-CEP-TOR
B6''CL, RAB-BIT MOUSE C LAMB-DA 2 AN-TI-BODY COU-PLED TO LIPOPOLY-SAC-CHA-RIDE HY-BRIDO-MA
25C1'CL, CD19
RA-2-L2'CL, RHEUMA-TOID FAC-TOR
BALB/C 1210.7, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
MMW.7.1'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
SC10'CL, MCPS
H144-17C5'CL, CA CB SITE OF IN-FLUEN-ZA VIRUS A PR 8 34 HEMAG-GLU-TININ  PR8 HA
9-40'CL, FLU-O-RES-CEIN  KA=3.7X10-EX-P7
2E50'CL, RAB-BIT MOUSE C LAMB-DA 2 AN-TI-BODY COU-PLED TO LIPOPOLY-SAC-CHA-RIDE HY-BRIDO-MA
B04, LYSOZYME HY-BRIDO-MA
1F5.D1'CL, HORSE CY-TOCHROME C HY-BRIDO-MA
MUC1-1'CL, HU-MAN MUC1 MUCIN  TU-MOR AS-SO-CI-AT-ED POLY-MOR-PHIC EP-ITHE-LIAL MUCIN  COU-PLED TO SEPHAROSE 4B
40-140, DIGOX-IN
Day 4 15-164-5'CL, 2 PHENYL 5 OX-A-ZOL-ONE
G11'CL, GLY-COPHORIN A
PC46'CL, PS1C-T3
MMW.8.5'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
f'CL, 2 PHENY-LOX-A-ZOL 5 ONE
BWA3'CL, BOV-INE THY-MUS HI-S-T-ONES  H2A RES. 1 20 AND H4 RES. 1 29
Mb_48-H'CL, DINI-TRO-PHENYL
PR-TS2'CL, POLYRE-AC-TIVE RHEUMA-TOID FAC-TOR
2INL15'CL, HU-MAN IN-SULIN
402P5-F10, HIV GP120 V3 LOOP  K OFF = 1.1 X 10-EXP 4 SEC 1
SC2'CL, MCPS
Ab3-2C4'CL, MCPS PEP-TIDE P3 COM-PLEXED WITH PRO-TEO-SOMES  ID-IO-TYPE AB2 6F9
D06, LYSOZYME HY-BRIDO-MA
HIV-HC10'CL, HIV 1 GP120
MRL2-14'CL, SS-D-NA  HO-MOGE-NOUS NU-CLE-AR
hsiglvl1045'CL, RAB-BIT IGG
L2 1C'CL, EPI-DER-MAL GROWTH FAC-TOR RE-CEP-TOR
Ca_15-H'CL, DINI-TRO-PHENYL
129, PHOS-PHO-TY-RO-SYL-PRO-TEIN
S9P16'CL, RHEUMA-TOID FAC-TOR
6G11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
F10.12-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
5E2'CL, RAB-BIT MOUSE C LAMB-DA 2 AN-TI-BODY COU-PLED TO LIPOPOLY-SAC-CHA-RIDE HY-BRIDO-MA
L42'CL, AU-TOAN-TI-BODY
LUNm03'CL, CLASS 5C OUT-ER MEM-BRANE PRO-TEIN OF NEIS-SE-RIA MENIN-GI-TIDIS
ABA2'-6'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1X10-EX-P7
22.186'CL, POLY GLU60 ALA30 TYR10  HY-BRIDO-MA
Jc_17-H'CL, DINI-TRO-PHENYL
B62.H'CL, DNA POLY DG
MMW.8.17'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
1-12'CL, SM HY-BRIDO-MA
23.3, MYELIN OLIGO-DEN-DRO-CYTE GLY-CO-PRO-TEIN  MOG
165.27'CL, DNA
163.1, P53
MAC188'CL, LDL RE-CEP-TOR
Bg112-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
C488-19E'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
139'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
H220-3'CL, IN-FLUEN-ZA VIRUS  A PR 8 34  HEMAG-GLU-TININ SEC-ONDARY AN-TI-BOD-IES  SB  HY-BRIDO-MA
NPYI-125.3'CL, NEU-ROPEP-TIDE Y
Day 4 15-164-13'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NNA7'CL, GLY-COPHORIN A
WO1'CL, GM1 GAN-GLIO-SIDE
24'CL, AU-TO ID-IO-TYP-IC DE-TER-MI-NANT  ID R  ON MAB 28 12
Z43VH3'CL, CD20
C97-1A4'CL,  TYR GLU  ALA LYS
AKR-6'CL, DNA
P28'CL, PHOS-PHO-RYL-CHOLINE HY-BRIDO-MA
25C10, LYSOZYME HY-BRIDO-MA
J7-7F6'CL, POLY L  TYR GLU  POLY D L ALA  POLYL LYS HY-BRIDO-MA
6A5'CL, PI-GEON CY-TOCHROME C AND MOUSE CY-TOCHROME C
AZ-20'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
O25G3D6'CL, PSEU-DOMONAS AERUG-I-NOSA LIPOPOLY-SAC-CHA-RIDE O6 O ANTI-GEN
B/SB5-18'CL, H2A H2B
CH1'CL, E. COLI
Mb_10-H'CL, DINI-TRO-PHENYL
anti-DigA'CL, DIGOX-I-GENIN
RF-AN'CL, IGG FC
BKD17'CL, DNA
ToP101'CL, CAP-SU-LAR POLY-SAC-CHA-RIDE OF HAEMO-PHILUS IN-FLUEN-ZAE TYPE B
23'CL, LE X  SIA-LYL LE X  NLAC-CER
Vk BEN'CL, LAMIN B AU-TOAN-TI-BODY
70.3, MYELIN OLIGO-DEN-DRO-CYTE GLY-CO-PRO-TEIN  MOG
3-9'CL, PHOS-PHO-CHOLINE PRO-TEIN  P NI-TRO-PHENYL PHOS-PHO-CHOLINE
Ib_06-H'CL, DINI-TRO-PHENYL
25F5'CL, RH D
H28-A2'CL, IN-FLUEN-ZA VIRUS HEMAG-GLU-TININ HY-BRIDO-MA
11-50'CL, LAC-TOTE-TRAO-SYL-CE-RAMIDE
S1-1'CL, HIV GP120
