I'CL, ANTI-2-PHENYLOXAZOL-5-ONE
Day 4 15-164-13'CL, ANTI-2-PHENYL-5-OXAZOLONE
Mb_10-H'CL, ANTI-DINITROPHENYL
Ib_06-H'CL, ANTI-DINITROPHENYL
Bg53-15'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
C488-31H'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
44SNQP34, ANTI-2-PHENYLOXAZOLONE
III-18'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
MMW.7.2'CL, ANTI-(4-HYDROXY-3-NITROPHENY)ACETYL
aly47-6'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
Mb_60-H'CL, ANTI-DINITROPHENYL
NQT15/10A'CL, ANTI-2-PHENYLOXAZOLONE
s'CL, ANTI-2-PHENYL0XAZOL-5-ONE
B17-3'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
NQT17/10A'CL, ANTI-2-PHENYLOXAZOLONE
40SNQP2, ANTI-2-PHENYLOXAZOLONE
B17-7'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
NQT15/23A'CL, ANTI-2-PHENYLOXAZOLONE
20G9'CL, ANTI-2-PHENYL OXAZOLONE HYBRIDOMA
NQT15/2A'CL, ANTI-2-PHENYLOXAZOLONE
133.25'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL-FICOLL HYBRIDOMA
MMW.4.10'CL, ANTI-(4-HYDROXY-3-NITROPHENY)ACETYL
