1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
FS6, ANTI-VH4-34
CAL-9'CL, ANTI-CARDIOLIPIN
1F1'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
C03'CL, ANTI-RH(D)
RF-1 PAN'CL, ANTI-IGG-PAN RHEUMATOID FACTOR
RF-1'CL, ANTI-IGG1 RHEUMATOID FACTOR
LWA10'CL, ANTI-B CELL AUTOANTIBODY
CH9'CL, ANTI-BROMELAIN-TREATED MOUSE ERYTHROCYTES
M2 191'CL, ANTI-MOUSE TYPE II COLLAGEN
MEAT16'CL, ANTI-FLUORESCEIN
M22'CL, ANTI-HUMAN HIGH BINDING AFFINITY RECEPTOR FOR FC OF IGG (FCGRI)
2E5.G10'CL, ANTI-RAT CYTOCHROME C HYBRIDOMA
2INL11'CL, ANTI-HUMAN INSULIN
3E4, ANTI-DIGOXIN ANTIBODY
SP1.4'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
2-7'CL, ANTI-IGG2A
64-32E4, ANTI-ARS
LN2 346'CL, ANTI-MOUSE TYPE II COLLAGEN
S2B154'CL, ANTI-ANTI-IDIOTYPE OF ANTI-HLA-DQ3 ANTIBODY
gammaR38'CL, ANTI-HUMAN INTERFERON GAMMA RECEPTOR
25E12'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
G01, ANTI-LYSOZYME HYBRIDOMA
cDNA7-Hul'CL, ANTI-IGG (RHEUMATOID FACTOR)
F1, ANTI-MESOTHELIN
7D8'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
544'CL, ANTI-P601E
ASWP1'CL, ANTI-NUCLEOLAR PARTICLES U3, U8
163.24, ANTI-P53
MRA1K'CL, ANTI-HISTONE
14E1'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
4-4'CL, ANTI-IGG2A
C8'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
B'20 (Humkv328-Jk1)'CL, RHEUMATOID FACTOR
alphaDpX (Dp2B)'CL, ANTI-DER P 2 (HOUSE DUST MITE ALLERGEN)
RF-TS2'CL, RHEUMATOID FACTOR AUTOANTIBODY
G3D10H'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GM1, GA1, GALGALNAC-BSA, NLC4, 3-FL-BSA)
SO3'CL, ANTI9-HLA-DQ3
hVH65-212'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=3.6X10EXP6)
S4 5A'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
KSe2B6'CL, ANTI-FLUORESCEIN
AL3-7'CL, ANTI-POLYCATION
1-8'CL, ANTI-SM HYBRIDOMA
RF9-11K'CL, ANTI-IGG1
T2,4'CL, ANTI-HEN BOVINE THYROGLOBULIN
TEL16'CL, ANTI-TURKEY EGG-WHITE LYSOZYME
heavy1'CL, ANTI-HUMAN THYROGLOBULIN
Fog-1'CL, ANTI-ERYTHROCYTE RH(D) ALLOANTIGEN
#14'CL, ANTI-LA RNP (RIBONUCLEOPROTEIN)
7-13'CL, ANTI-SM HYBRIDOMA
EF2H10'CL, ANTI-FLUORESCEIN
NEU, CRYOGLOBULIN WITH ANTI-IGG ACTIVITY; B IDIOTYPE (KUNKEL,H.G.,WINCHESTER,R.J.,JOSLIN,F.G. & CAPRA,J.D. (1974) J.EXP.MED.,139,128)
K1B12H'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GALGALNAC-BSA, 3-FL-BSA)
DP-7, ANTI-P53
P168'CL, AUTO-ANTI-IDIOTYPIC DETERMINANT (ID/R) ON MAB 28/12
TNF-H9G1'CL, ANTI-HUMAN TUMOR NECROSIS FACTOR ALPHA
D444'CL, ANTI-RNA AUTOANTIBODY, ANTI-POLY(G,C) HYBRIDOMA
DPC'CL, ANTI-GLUTAMIC ACID DECARBOXYLASE 65
3-2C2'CL, ANTI-CYTOCHROME P450 AROMATASE
VL i.'CL, ANTI-GLUTATHIONE S-TRANSFERASE
56-1'CL, ANTI-PHOSPHORYLCHOLINE-KEYHOLE LIMPET HEMOCYANIN
2E126'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
PE25'CL, ANTI-HUMAN PROENKEPHALIN, A NEUROPEPTIDE PRECURSOR, PEPTIDE 155DLLKELL161
mAb13'CL, ANTI-INSULIN
HV14G2'CL, ANTI-FLUORESCEIN
163.5, ANTI-P53
9E11'CL, ANTI-CRYPTOCOCCUS NEOFORMANS (SEROPTYPE A) GLUCURONOXYLOMANNAN-TETANUS TOXOID CONJUGATE
EPC109, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=6.6X10EXP5)
Y2''CL, ANTI-SM HYBRIDOMA
1C9'CL, ANTI-BOTULINUM NEUROTOXIN TYPE A BINDING DOMAIN (BONT/A HC)
18R.136'CL, CATALYTIC ANTIBODY
79.7, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
H6-3C4'CL, ANTI-HUMAN SPERM SURFACE ANTIGEN
33.1.C2'CL, ANTI-CD5
VHSM7-13'CL, ANTI-IGG/SMITH RIBONUCLEAR PROTEIN
C5'CL, ANTI-THYROID PEROXIDASE AUTOANTIBODY
T10-938'CL, ANTI-ANTI-HLA-A2,28 MAB CR11-351 COUPLED TO KEYHOLE LIMPET HEMOCYANIN
C10'CL, ANTI-RH(D)
I03'CL, ANTI-RH(D)
5-7'CL, ANTI-IGG2A
h60.3'CL, ANTI-CD18
40-120, ANTI-DIGOXIN
ALN/12/17'CL, ANTI-CHONDROITIN SULPHATE PROTEOGLYCAN NG2, A TUMOR-SPECIFIC ANTIGEN ON THE 3-4 BENZPYRENE-INDUCED RAT CHONDROSARCOMA HSN
1/17'CL, ANTI-DNA AUTOANTIBODY HYBRIDOMA
T3'CL, ANTI-HEN BOVINE THYROGLOBULIN
193020'CL, ANTI-INSULIN AUTOANTIBODY
RF49B'CL, ANTI-IGG1 MONOCLONAL AUTOANTIBODY (RHEUMATOID FACTOR)
D12'CL, ANTI-RH(D)
126TP10H'CL, ANTI-THYROID PEROXIDASE (TPO)
5B5'CL, ANTI-SM HYBRIDOMA
L25'CL, AUTOANTIBODY
A32'CL, ANTI-B-TYPE CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL)
417.F23'CL, POLYREACTIVE
HA1L1'CL, RHEUMATOID FACTOR
14-35A1, ANTI-ARS
10/2'CL, ANTI-GAL ALPHA 1-3 GAL BETA 1-4 GLCNAC-R (BINDING CONSTANT=1.1X10EXP6)
MP9'CL, ANTI-HLA CLASS I (A*03)
RF3-5K'CL, ANTI-IGG1
FON'CL, ANTI-FC IGG
70.1.4'CL, ANTI-DNA, ACTIN, MYOSIN, THYROGLOBULIN
3-13'CL, ANTI-FLUORESCEIN (KA=5.0X10EXP4)
2E1'CL, ANTI-NUCLEOSOME, TOTAL HISTONE, H2A-H2B DIMER
AL3-6'CL, ANTI-POLYCATION
3-56'CL, ANTI-SM HYBRIDOMA
1P2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT<7X10EXP4)
3A9'CL, ANTI-GALACTOSYLGLOBOSIDE
B/SB5-84'CL, ANTI-H4
303'CL, ANTI-INSULIN
95.B3'CL, ANTI-FLUORESCEIN
2-12'CL, ANTI-SM
L55-81'CL, ANTI-TUMOR-ASSOCIATED GANGLIOSIDE GM2
HMFG1'CL, ANTI-HUMAN MUCIN
A192'CL, ANTI-B-TYPE CHRONIC LYMPHOCYTIC LEUKEMIA (B-CLL)
NZA2'CL, ANTI-NUCLEOSOME
ABPC47N, ANTI-BETA 2,1 FRUCTOSAN (BINDING CONSTANT=2.2X10EXP5)
HPCM2, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA(BINDING CONSTANT=3.5X10EXP5)
A.22'CL, ANTI-ARS
DB1'CL, ANTI-GLYCOPHORIN A
2D3'CL, ANTI-ANTI-ARSONATE ANTIBODY HYBRIDOMA
N25'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
AD17'CL, ANTI-ERYTHROCYTE RH(D) 
h'CL, ANTI-IDIOTYPE (EXPRESSED ON THE SURFACE OF NON-HODGKIN'S LYMPHOMA CELLS)
H102'CL, ANTI-SSDNA AUTOANTIBODY
L3 10A'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
B6''CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
25C1'CL, ANTI-CD19
RA-2-L2'CL, RHEUMATOID FACTOR
9-40'CL, ANTI-FLUORESCEIN (KA=3.7X10EXP7)
2E50'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
B04, ANTI-LYSOZYME HYBRIDOMA
1F5.D1'CL, ANTI-HORSE CYTOCHROME C HYBRIDOMA
MUC1-1'CL, ANTI-HUMAN MUC1 MUCIN (TUMOR ASSOCIATED POLYMORPHIC EPITHELIAL MUCIN) COUPLED TO SEPHAROSE 4B
40-140, ANTI-DIGOXIN
G11'CL, ANTI-GLYCOPHORIN A
BWA3'CL, ANTI-BOVINE THYMUS HISTONES (H2A RES. 1-20 AND H4 RES. 1-29)
PR-TS2'CL, POLYREACTIVE RHEUMATOID FACTOR
2INL15'CL, ANTI-HUMAN INSULIN
Ab3-2C4'CL, ANTI-MCPS PEPTIDE P3 COMPLEXED WITH PROTEOSOMES, ANTI-IDIOTYPE AB2-6F9
D06, ANTI-LYSOZYME HYBRIDOMA
hsiglvl1045'CL, ANTI-RABBIT IGG
L2 1C'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
129, ANTI-PHOSPHOTYROSYLPROTEIN
S9P16'CL, RHEUMATOID FACTOR
5E2'CL, ANTI-RABBIT-ANTI-MOUSE-C-LAMBDA-2 ANTIBODY COUPLED TO LIPOPOLYSACCHARIDE HYBRIDOMA
L42'CL, AUTOANTIBODY
LUNm03'CL, ANTI-CLASS 5C OUTER MEMBRANE PROTEIN OF NEISSERIA MENINGITIDIS
ABA2'-6'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=1X10EXP7)
1-12'CL, ANTI-SM HYBRIDOMA
23.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
163.1, ANTI-P53
C488-19E'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
NNA7'CL, ANTI-GLYCOPHORIN A
WO1'CL, ANTI-GM1 GANGLIOSIDE
24'CL, AUTO-ANTI-IDIOTYPIC DETERMINANT (ID/R) ON MAB 28/12
Z43VH3'CL, CD20
25C10, ANTI-LYSOZYME HYBRIDOMA
6A5'CL, ANTI-PIGEON CYTOCHROME C AND MOUSE CYTOCHROME C
AZ-20'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
O25G3D6'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE O6 O-ANTIGEN
B/SB5-18'CL, ANTI-H2A/H2B
anti-DigA'CL, ANTI-DIGOXIGENIN
RF-AN'CL, ANTI-IGG FC
Vk BEN'CL, ANTI-LAMIN B AUTOANTIBODY
70.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
3-9'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
25F5'CL, ANTI-RH(D)
11-50'CL, ANTI-LACTOTETRAOSYLCERAMIDE
RF-IP8'CL, RHEUMATOID FACTOR
RZ5-8 'CL, ANTI-EPSILON-DNP-AMINOCAPROATE(BINDING CONSTANT=5.0X10EXP6)
Vl HER2'CL, ANTI-LAMIN B AUTOANTIBODY
C488-31H'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
m54S/N, ANTI-IDIOTYPIC
CAMPATH-9, ANTI-HUMAN CD4
221.3G5''CL, ANTI-PHOSPHOCHOLINE-SPECIFIC DETERMINANT IN PROTEUS MORGANII
GAR, ANTI-RIBOFLAVIN
ST40'CL, ANTI-CD4
48'CL, ANTI-P-AZOPHENYLARSONATE-KEYHOLE LIMPET HEMOCYANIN
9F2L'CL, ANTI-GANGLIOSIDE AUTOANTIBODY (GALGALNAC-BSA)
65.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
163.16, ANTI-P53
CB 391'CL, ANTI-HUMAN AND MOUSE TYPE II COLLAGEN C1 EPITOPE, RESIDUES 316 TO 333
417.F32.26'CL, MONOREACTIVE
AZ-3'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
SO5'CL, ANTI9-HLA-DQ3
slkv22'CL, ANTI-IGG POLYCLONAL RHEUMATOID FACTOR
WOL, ANTI-HUMAN GAMMA G GLOBULIN; WA IDIOTYPE
RF-5 PAN'CL, ANTI-IGG-PAN RHEUMATOID FACTOR
1E10'CL, ANTI-MOUSE RED BLOOD CELL AUTOANTIBODIES
4H11'CL, ANTI-HUMAN PROCOLLAGENASE
M01'CL, ANTI-RH(D)
mAb114'CL, ANTI-IGG FC FRAGMENT RHEUMATOID FACTOR
163.23, ANTI-P53
101'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE OUTER CORE
129-48'CL, ANTI-IGG HYBRIDOMA
S4 2D'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
36.2.2'CL, ANTI-STREPTOCOCCAL M PROTEIN, MYOSIN, LIGHT MEROMYOSIN, TROPOMYOSIN, KERATIN
Z35VH1'CL, CD20
A9'CL, ANTI-GP41
PA3'CL, ANTI-CHROMATIN
AL/3/12'CL, ANTI-CHONDROITIN SULPHATE PROTEOGLYCAN NG2, A TUMOR-SPECIFIC ANTIGEN ON THE 3-4 BENZPYRENE-INDUCED RAT CHONDROSARCOMA HSN
mAb426.12.3F1.4'CL, POLYREACTIVE AUTOANTIBODY
2C2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=5.9X10EXP6)
HT, ANTI-VH4-34
lambda3'CL, ANTI-HUMAN THYROGLOBULIN
TH3'CL, ANTI-SSDNA, IGG HYBRIDOMA
22.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
1E10''CL, ANTI-CRYPTOCOCCUS NEOFORMANS POLYSACCHARIDE (SEROPTYPE A)
F8, ANTI-MESOTHELIN
F14'CL, ANTI-ARS
F2'CL, ANTI-MELANOMA
C57BL 23169, ANTI-PHOSPHORYLCHOLINE HYBRIDOMA (BINDING CONSTANT=3.0X10EXP5)
2INH6'CL, ANTI-HUMAN INSULIN
RF-IP10'CL, RHEUMATOID FACTOR
1G2'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 6.7X10EXP-8)
ka3les'CL, ANTI-IGG (RHEUMATOID FACTOR)
m15.23, ANTI-IDIOTYPIC
CC46'CL, ANTI-TUMOR-ASSOCIATED GLYCOPROTEIN-72 (TAG-72)
