I'CL, ANTI-2-PHENYLOXAZOL-5-ONE
ABA2'-6'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=1X10EXP7)
Jc_17-H'CL, ANTI-DINITROPHENYL
MMW.8.17'CL, ANTI-(4-HYDROXY-3-NITROPHENY)ACETYL
Bg112-5'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
C488-19E'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
139'CL, ANTI-(4-HYDROXY-3-NITROPHENYL) ACETYL
Day 4 15-164-13'CL, ANTI-2-PHENYL-5-OXAZOLONE
AZ-20'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
Mb_10-H'CL, ANTI-DINITROPHENYL
Ib_06-H'CL, ANTI-DINITROPHENYL
Bg53-15'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
RZ5-8 'CL, ANTI-EPSILON-DNP-AMINOCAPROATE(BINDING CONSTANT=5.0X10EXP6)
C488-31H'CL, ANTI-(4-HYDROXY-3-NITRO-PHENYL) ACETYL COUPLED TO CHICKEN GAMMA GLOBULIN
Na 11-H'CL, ANTI-DNP
44SNQP34, ANTI-2-PHENYLOXAZOLONE
48'CL, ANTI-P-AZOPHENYLARSONATE-KEYHOLE LIMPET HEMOCYANIN
III-18'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
MMW.7.2'CL, ANTI-(4-HYDROXY-3-NITROPHENY)ACETYL
AZ-3'CL, CATALYTIC OXY-COPE ANTIBODY SPECIFIC FOR A COMMON TRANSITION STATE ANALOG HAPTEN
aly47-6'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
Mb_60-H'CL, ANTI-DINITROPHENYL
NQT15/10A'CL, ANTI-2-PHENYLOXAZOLONE
s'CL, ANTI-2-PHENYL0XAZOL-5-ONE
B17-3'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
NQT17/10A'CL, ANTI-2-PHENYLOXAZOLONE
40SNQP2, ANTI-2-PHENYLOXAZOLONE
2C2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=5.9X10EXP6)
B17-7'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL
NQT15/23A'CL, ANTI-2-PHENYLOXAZOLONE
AN02, ANTI-DINITROPHENYL HYBRIDOMA
20G9'CL, ANTI-2-PHENYL OXAZOLONE HYBRIDOMA
NQT15/2A'CL, ANTI-2-PHENYLOXAZOLONE
133.25'CL, ANTI-(4-HYDROXY-3-NITROPHENYL)ACETYL-FICOLL HYBRIDOMA
MMW.4.10'CL, ANTI-(4-HYDROXY-3-NITROPHENY)ACETYL
Lb 10-H'CL, ANTI-DNP
